id;name;link;bgg_rank;suggested_player;min_player;max_player;max_playtime;ratio_play;age;mecha_list;family_list;domain_list;cat_list;designer_list;awards;Image_link;weight;geek_rating;year
174430;Gloomhaven;https://boardgamegeek.com/boardgame/174430/gloomhaven;1;[1, 2, 3, 4];1;4;120;30.0;14.0;['Action Queue', 'Action Retrieval', 'Campaign / Battle Card Driven', 'Card Play Conflict Resolution', 'Communication Limits', 'Cooperative Game', 'Critical Hits and Failures', 'Deck Construction', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Legacy Game', 'Line of Sight', 'Modular Board', 'Once-Per-Game Abilities', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Storytelling', 'Variable Player Powers'];['Category: Dungeon Crawler', 'Components: Miniatures', 'Components: Multi-Use Cards', 'Components: Standees', 'Creatures: Demons', 'Creatures: Dragons', 'Creatures: Monsters', 'Crowdfunding: Kickstarter', 'Digital Implementations: Steam', 'Digital Implementations: TableTop Simulator Mod (TTS)', 'Game: Gloomhaven', 'Mechanism: Campaign Games', 'Mechanism: Legacy', 'Misc: Forteller Audio Narration', 'Misc: Made by Panda', 'Players: Games with Solitaire Rules'];['Strategy Games', 'Thematic Games'];['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures'];['Isaac Childres'];30;https://cf.geekdo-images.com/sZYp_3BTDGjh2unaZfZmuA__original/img/7d-lj5Gd1e8PFnD97LYFah2c45M=/0x0/filters:format(jpeg)/pic2437871.jpg;3.9;8.4;2017
224517;Brass: Birmingham;https://boardgamegeek.com/boardgame/224517/brass-birmingham;2;[2, 3, 4];2;4;120;30.0;14.0;['Hand Management', 'Income', 'Loans', 'Market', 'Network and Route Building', 'Tech Trees / Tech Tracks', 'Turn Order: Stat-Based', 'Variable Set-up'];['Cities: Birmingham (England)', 'Country: England', 'Crowdfunding: Kickstarter', 'Crowdfunding: Spieleschmiede', 'Digital Implementations: Steam', 'Digital Implementations: Tabletopia', 'Food & Drink: Beer', 'Game: Brass', 'History: Industrial Revolution', 'Misc: Watch It Played How To Videos', 'Organizations: The Game Artisans of Canada', 'Theme: Canals'];['Strategy Games'];['Economic', 'Industry / Manufacturing', 'Post-Napoleonic', 'Transportation'];['Gavan Brown', 'Matt Tolman', 'Martin Wallace'];20;https://cf.geekdo-images.com/x3zxjr-Vw5iU4yDPg70Jgw__original/img/FpyxH41Y6_ROoePAilPNEhXnzO8=/0x0/filters:format(jpeg)/pic3490053.jpg;3.9;8.4;2018
161936;Pandemic Legacy: Season 1;https://boardgamegeek.com/boardgame/161936/pandemic-legacy-season-1;3;[2, 3, 4];2;4;60;15.0;13.0;['Action Points', 'Cooperative Game', 'Hand Management', 'Legacy Game', 'Point to Point Movement', 'Set Collection', 'Trading', 'Variable Player Powers'];['Components: Map (Global Scale)', 'Components: Multi-Use Cards', 'Game: Pandemic', 'Mechanism: Campaign Games', 'Mechanism: Legacy', 'Medical: Diseases', 'Misc: Limited Replayability', 'Misc: Made by Panda', 'Occupation: Dispatcher', 'Occupation: Medic / Doctor / Nurses', 'Occupation: Researcher / Scientist', 'Region: The World', 'Theme: Science', 'Versions & Editions: Legacy Versions of Non-Legacy Games'];['Strategy Games', 'Thematic Games'];['Environmental', 'Medical'];['Rob Daviau', 'Matt Leacock'];30;https://cf.geekdo-images.com/-Qer2BBPG7qGGDu6KcVDIw__original/img/PlzAH7swN1nsFxOXbfUvE3TkE5w=/0x0/filters:format(png)/pic2452831.png;2.8;8.4;2015
342942;Ark Nova;https://boardgamegeek.com/boardgame/342942/ark-nova;4;[1, 2, 3, 4];1;4;150;37.5;14.0;['End Game Bonuses', 'Hand Management', 'Hexagon Grid', 'Income', 'Increase Value of Unchosen Resources', 'Open Drafting', 'Set Collection', 'Solo / Solitaire Game', 'Tags', 'Tile Placement', 'Variable Player Powers', 'Variable Set-up'];['Components: Hexagonal Tiles', 'Game: Ark Nova', 'Players: Games with Solitaire Rules', 'Theme: Ecology', 'Theme: Science', 'Theme: Zoos, Aquaria, Safari Parks'];['Strategy Games'];['Animals', 'Economic', 'Environmental'];['Mathias Wigge'];13;https://cf.geekdo-images.com/SoU8p28Sk1s8MSvoM4N8pQ__original/img/g4S18szTdrXCdIwVKzMKrZrYAcM=/0x0/filters:format(jpeg)/pic6293412.jpg;3.7;8.3;2021
233078;Twilight Imperium: Fourth Edition;https://boardgamegeek.com/boardgame/233078/twilight-imperium-fourth-edition;5;[3, 4];3;6;480;80.0;14.0;['Action Drafting', 'Area Majority / Influence', 'Area-Impulse', 'Dice Rolling', 'Follow', 'Grid Movement', 'Hexagon Grid', 'Increase Value of Unchosen Resources', 'King of the Hill', 'Modular Board', 'Race', 'Tech Trees / Tech Tracks', 'Trading', 'Variable Phase Order', 'Variable Player Powers', 'Variable Set-up', 'Voting'];['Components: Hexagonal Tiles', 'Components: Map (Interplanetary or Interstellar scale)', 'Components: Miniatures', 'Game: Twilight Imperium', 'Mechanism: 4X', 'Misc: Made by Panda'];['Strategy Games', 'Thematic Games'];['Civilization', 'Economic', 'Exploration', 'Negotiation', 'Political', 'Science Fiction', 'Space Exploration', 'Wargame'];['Dane Beltrami', 'Corey Konieczka', 'Christian T. Petersen'];2;https://cf.geekdo-images.com/_Ppn5lssO5OaildSE-FgFA__original/img/kVpZ0Maa_LeQGWxOqsYKP3N4KUY=/0x0/filters:format(jpeg)/pic3727516.jpg;4.3;8.3;2017
167791;Terraforming Mars;https://boardgamegeek.com/boardgame/167791/terraforming-mars;6;[1, 2, 3, 4];1;5;120;24.0;12.0;['Closed Drafting', 'Contracts', 'Enclosure', 'End Game Bonuses', 'Hand Management', 'Hexagon Grid', 'Income', 'Set Collection', 'Solo / Solitaire Game', 'Tags', 'Take That', 'Tech Trees / Tech Tracks', 'Tile Placement', 'Turn Order: Progressive', 'Variable Player Powers', 'Variable Set-up', 'Victory Points as a Resource'];"['Category: Dized Tutorial', 'Components: Map (Global Scale)', 'Components: Multi-Use Cards', 'Digital Implementation: Google Play', 'Game: Terraforming Mars', 'Mechanism: Tableau Building', 'Players: Games with Solitaire Rules', 'Setting: Future Timeline (Fryxgames)', ""Space: Earth's Solar System"", 'Space: Jupiter', 'Space: Mars', 'Theme: Science']";['Strategy Games'];['Economic', 'Environmental', 'Industry / Manufacturing', 'Science Fiction', 'Space Exploration', 'Territory Building'];['Jacob Fryxelius'];40;https://cf.geekdo-images.com/wg9oOLcsKvDesSUdZQ4rxw__original/img/thIqWDnH9utKuoKVEUqveDixprI=/0x0/filters:format(jpeg)/pic3536616.jpg;3.3;8.2;2016
291457;Gloomhaven: Jaws of the Lion;https://boardgamegeek.com/boardgame/291457/gloomhaven-jaws-lion;7;[1, 2, 3, 4];1;4;120;30.0;14.0;['Action Queue', 'Action Retrieval', 'Campaign / Battle Card Driven', 'Communication Limits', 'Cooperative Game', 'Critical Hits and Failures', 'Deck Construction', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Legacy Game', 'Line of Sight', 'Once-Per-Game Abilities', 'Scenario / Mission / Campaign Game', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Variable Player Powers'];['Category: Dungeon Crawler', 'Components: Book as Board', 'Components: Miniatures', 'Components: Multi-Use Cards', 'Components: Standees', 'Digital Implementations: Steam', 'Digital Implementations: TableTop Simulator Mod (TTS)', 'Game: Gloomhaven', 'Mechanism: Campaign Games', 'Mechanism: Legacy', 'Misc: Forteller Audio Narration', 'Misc: Limited Replayability', 'Misc: Watch It Played How To Videos', 'Players: Games with Solitaire Rules'];['Strategy Games', 'Thematic Games'];['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures'];['Isaac Childres'];18;https://cf.geekdo-images.com/_HhIdavYW-hid20Iq3hhmg__original/img/PBzsLRqNKQKJxGnzpb7o3qLWPQM=/0x0/filters:format(jpeg)/pic5055631.jpg;3.6;8.2;2020
187645;Star Wars: Rebellion;https://boardgamegeek.com/boardgame/187645/star-wars-rebellion;8;[2, 3, 4];2;4;240;60.0;14.0;['Area Majority / Influence', 'Area Movement', 'Area-Impulse', 'Card Play Conflict Resolution', 'Contracts', 'Delayed Purchase', 'Dice Rolling', 'Die Icon Resolution', 'Events', 'Hand Management', 'Hidden Movement', 'Income', 'Once-Per-Game Abilities', 'Take That', 'Team-Based Game', 'Variable Player Powers', 'Variable Set-up', 'Worker Placement, Different Worker Types'];['Category: Two players fighting games', 'Components: Map (Interplanetary or Interstellar scale)', 'Components: Miniatures', 'Components: Standees', 'Movies: Star Wars'];['Thematic Games'];['Civil War', 'Miniatures', 'Movies / TV / Radio theme', 'Science Fiction', 'Space Exploration', 'Wargame'];['Corey Konieczka'];17;https://cf.geekdo-images.com/7SrPNGBKg9IIsP4UQpOi8g__original/img/GKueTbkCk2Ramf6ai8mDj-BP6cI=/0x0/filters:format(jpeg)/pic4325841.jpg;3.7;8.2;2016
115746;War of the Ring: Second Edition;https://boardgamegeek.com/boardgame/115746/war-ring-second-edition;9;[2, 3, 4];2;4;180;45.0;13.0;['Area Majority / Influence', 'Area Movement', 'Campaign / Battle Card Driven', 'Card Play Conflict Resolution', 'Dice Rolling', 'Events', 'Hand Management', 'Hidden Movement', 'Movement Points', 'Simulation', 'Team-Based Game', 'Variable Set-up'];['Authors: J.R.R. Tolkien', 'Components: Map (Continental / National scale)', 'Components: Miniatures', 'Creatures: Monsters', 'Series: War of the Ring (Nexus/Ares Games)'];['Thematic Games', 'Wargames'];['Adventure', 'Fantasy', 'Fighting', 'Novel-based', 'Territory Building', 'Wargame'];['Roberto Di Meglio', 'Marco Maggi', 'Francesco Nepitello'];0;https://cf.geekdo-images.com/ImPgGag98W6gpV1KV812aA__original/img/38jB7fN07DwlrGKYAf-J0vsNdgs=/0x0/filters:format(jpeg)/pic1215633.jpg;4.2;8.2;2011
162886;Spirit Island;https://boardgamegeek.com/boardgame/162886/spirit-island;10;[1, 2, 3, 4];1;4;120;30.0;13.0;['Action Retrieval', 'Area Majority / Influence', 'Automatic Resource Growth', 'Campaign / Battle Card Driven', 'Cooperative Game', 'Hand Management', 'Modular Board', 'Set Collection', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Variable Player Powers', 'Variable Set-up'];['Components: Control Boards', 'Components: Map (Continental / National scale)', 'Components: Miniatures', 'Components: Wooden pieces & boards', 'Crowdfunding: Kickstarter', 'Digital Implementation: Google Play', 'Game: Spirit Island', 'Players: Games with Solitaire Rules', 'Theme: Colonial'];['Strategy Games'];['Fantasy', 'Fighting', 'Mythology', 'Territory Building'];['R. Eric Reuss'];15;https://cf.geekdo-images.com/kjCm4ZvPjIZxS-mYgSPy1g__original/img/9uLd9C3XAvInLCLhAoXqKVk56zs=/0x0/filters:format(jpeg)/pic7013651.jpg;4.1;8.2;2017
